case_id,conversation_id,intent,human_routing,system_routing,match,system_reasons,customer_message
gold_001,conv_43370,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"why is my iphone (6s, recent update) showing symbols and stuff as i️ type when autocorrect is on? @AppleSupport"
gold_002,conv_145156,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,HUMAN_ESCALATION,False,Intent classification confidence (0.78) below threshold (0.80).,"Well I have been facing a problem on @115858 store, which fails to load on my phone. Trying to play @148887 which asks for update after intervals, yet when I open the store, it fails to load. Game works sometimes, asks for update in the other. Please help, @AppleSupport."
gold_003,conv_181374,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,AUTO_HANDLE,True,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"Hello, I’m iPhone 6s user. Why I can’t downgrade to iOS 10.3.3? I saw from ipsw.me that’s still sign for iPhone 6s."
gold_004,conv_265037,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,AUTO_HANDLE,True,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,IOS 11 is a waste of time right now. Where does my keyboard keep going? And my apps keep crashing @AppleSupport what's going on?
gold_005,conv_52189,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,why do I have to do a hard reset to download apps? Started with iOS 11
gold_006,conv_151509,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,AUTO_HANDLE,True,High intent confidence (0.85 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"When do you think you might ""fix"" the glitch when using the pronoun ""I"" while texting, tweeting, etc.????"
gold_007,conv_42636,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Ey @AppleSupport since I updating my iPhone 8 to iOS 11.1 does not stop restarting!! 😡😞😭 #iOS11 #bug
gold_008,conv_185535,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,HUMAN_ESCALATION,True,Intent classification confidence (0.78) below threshold (0.80).,Really love how my phone is glitching & exiting out & deleting the entire text I’ve written @AppleSupport😒 wishing I didn’t update my phone🙃
gold_009,conv_87009,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"Hi, guess you guys need to hire efficient #iOS developers. My phone has been lagging ever since the #ios11 got its new update. @AppleSupport"
gold_010,conv_182261,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"iOS 11 very buggy, causing me much distress, please patch it"
